month,hour,weather,prob
7,17,clear,0.8679
7,17,rain,0.1321
7,17,snow,0.0
7,18,clear,0.8703
7,18,rain,0.1297
7,18,snow,0.0
7,19,clear,0.8745
7,19,rain,0.1255
7,19,snow,0.0
7,20,clear,0.884
7,20,rain,0.116
7,20,snow,0.0
7,21,clear,0.8861
7,21,rain,0.1139
7,21,snow,0.0
7,22,clear,0.8877
7,22,rain,0.1123
7,22,snow,0.0
7,23,clear,0.8836
7,23,rain,0.1164
7,23,snow,0.0
8,0,clear,0.9126
8,0,rain,0.0874
8,0,snow,0.0
8,1,clear,0.9105
8,1,rain,0.0895
8,1,snow,0.0
8,2,clear,0.9091
8,2,rain,0.0909
8,2,snow,0.0
8,3,clear,0.9052
8,3,rain,0.0948
8,3,snow,0.0
8,4,clear,0.8976
8,4,rain,0.1024
8,4,snow,0.0
8,5,clear,0.8944
8,5,rain,0.1056
8,5,snow,0.0
8,6,clear,0.8914
8,6,rain,0.1086
8,6,snow,0.0
8,7,clear,0.8908
8,7,rain,0.1092
8,7,snow,0.0
8,8,clear,0.8934
8,8,rain,0.1066
8,8,snow,0.0
8,9,clear,0.8988
8,9,rain,0.1012
8,9,snow,0.0
8,10,clear,0.9038
8,10,rain,0.0962
8,10,snow,0.0
8,11,clear,0.9049
8,11,rain,0.0951
8,11,snow,0.0
8,12,clear,0.9033
8,12,rain,0.0967
8,12,snow,0.0
8,13,clear,0.9005
8,13,rain,0.0995
8,13,snow,0.0
8,14,clear,0.9027
8,14,rain,0.0973
8,14,snow,0.0
8,15,clear,0.8955
8,15,rain,0.1045
8,15,snow,0.0
8,16,clear,0.8969
8,16,rain,0.1031
8,16,snow,0.0
8,17,clear,0.8956
8,17,rain,0.1044
8,17,snow,0.0
8,18,clear,0.8976
8,18,rain,0.1024
8,18,snow,0.0
8,19,clear,0.9006
8,19,rain,0.0994
8,19,snow,0.0
8,20,clear,0.906
8,20,rain,0.094
8,20,snow,0.0
8,21,clear,0.9137
8,21,rain,0.0863
8,21,snow,0.0
8,22,clear,0.9168
8,22,rain,0.0832
8,22,snow,0.0
8,23,clear,0.9162
8,23,rain,0.0838
8,23,snow,0.0
9,0,clear,0.914
9,0,rain,0.086
9,0,snow,0.0
9,1,clear,0.9187
9,1,rain,0.0813
9,1,snow,0.0
9,2,clear,0.9152
9,2,rain,0.0848
9,2,snow,0.0
9,3,clear,0.9102
9,3,rain,0.0898
9,3,snow,0.0
9,4,clear,0.9067
9,4,rain,0.0933
9,4,snow,0.0
9,5,clear,0.8965
9,5,rain,0.1035
9,5,snow,0.0
9,6,clear,0.892
9,6,rain,0.108
9,6,snow,0.0
9,7,clear,0.8955
9,7,rain,0.1045
9,7,snow,0.0
9,8,clear,0.8985
9,8,rain,0.1015
9,8,snow,0.0
9,9,clear,0.9074
9,9,rain,0.0926
9,9,snow,0.0
9,10,clear,0.9165
9,10,rain,0.0835
9,10,snow,0.0
9,11,clear,0.9166
9,11,rain,0.0834
9,11,snow,0.0
9,12,clear,0.9158
9,12,rain,0.0842
9,12,snow,0.0
9,13,clear,0.9167
9,13,rain,0.0833
9,13,snow,0.0
9,14,clear,0.9118
9,14,rain,0.0882
9,14,snow,0.0
9,15,clear,0.9105
9,15,rain,0.0895
9,15,snow,0.0
9,16,clear,0.9099
9,16,rain,0.0901
9,16,snow,0.0
9,17,clear,0.9059
9,17,rain,0.0941
9,17,snow,0.0
9,18,clear,0.9052
9,18,rain,0.0948
9,18,snow,0.0
9,19,clear,0.9046
9,19,rain,0.0954
9,19,snow,0.0
9,20,clear,0.9044
9,20,rain,0.0956
9,20,snow,0.0
9,21,clear,0.9086
9,21,rain,0.0914
9,21,snow,0.0
9,22,clear,0.9092
9,22,rain,0.0908
9,22,snow,0.0
9,23,clear,0.9111
9,23,rain,0.0889
9,23,snow,0.0
10,0,clear,0.9484
10,0,rain,0.0516
10,0,snow,0.0
10,1,clear,0.9517
10,1,rain,0.0483
10,1,snow,0.0
10,2,clear,0.9516
10,2,rain,0.0484
10,2,snow,0.0
10,3,clear,0.9509
10,3,rain,0.0491
10,3,snow,0.0
10,4,clear,0.9479
10,4,rain,0.0521
10,4,snow,0.0
10,5,clear,0.9479
10,5,rain,0.0521
10,5,snow,0.0
10,6,clear,0.9467
10,6,rain,0.0533
10,6,snow,0.0
10,7,clear,0.9428
10,7,rain,0.0572
10,7,snow,0.0
10,8,clear,0.9435
10,8,rain,0.0565
10,8,snow,0.0
10,9,clear,0.9463
10,9,rain,0.0537
10,9,snow,0.0
10,10,clear,0.9491
10,10,rain,0.0509
10,10,snow,0.0
10,11,clear,0.954
10,11,rain,0.046
10,11,snow,0.0
10,12,clear,0.9581
10,12,rain,0.0419
10,12,snow,0.0
10,13,clear,0.9539
10,13,rain,0.0461
10,13,snow,0.0
10,14,clear,0.9473
10,14,rain,0.0527
10,14,snow,0.0
10,15,clear,0.9419
10,15,rain,0.0581
10,15,snow,0.0
10,16,clear,0.9406
10,16,rain,0.0594
10,16,snow,0.0
10,17,clear,0.938
10,17,rain,0.062
10,17,snow,0.0
10,18,clear,0.9354
10,18,rain,0.0646
10,18,snow,0.0
10,19,clear,0.933
10,19,rain,0.067
10,19,snow,0.0
10,20,clear,0.9329
10,20,rain,0.0671
10,20,snow,0.0
10,21,clear,0.9387
10,21,rain,0.0613
10,21,snow,0.0
10,22,clear,0.9393
10,22,rain,0.0607
10,22,snow,0.0
10,23,clear,0.9427
10,23,rain,0.0573
10,23,snow,0.0
11,0,clear,0.905
11,0,rain,0.0926
11,0,snow,0.0024
11,1,clear,0.905
11,1,rain,0.0926
11,1,snow,0.0024
11,2,clear,0.8945
11,2,rain,0.1022
11,2,snow,0.0033
11,3,clear,0.8945
11,3,rain,0.1022
11,3,snow,0.0033
11,4,clear,0.8945
11,4,rain,0.1022
11,4,snow,0.0033
11,5,clear,0.8926
11,5,rain,0.1032
11,5,snow,0.0041
11,6,clear,0.8926
11,6,rain,0.1032
11,6,snow,0.0041
11,7,clear,0.8926
11,7,rain,0.1032
11,7,snow,0.0041
11,8,clear,0.9138
11,8,rain,0.0836
11,8,snow,0.0026
11,9,clear,0.9138
11,9,rain,0.0836
11,9,snow,0.0026
11,10,clear,0.9138
11,10,rain,0.0836
11,10,snow,0.0026
11,11,clear,0.9259
11,11,rain,0.0722
11,11,snow,0.002
11,12,clear,0.9259
11,12,rain,0.0722
11,12,snow,0.002
11,13,clear,0.9259
11,13,rain,0.0722
11,13,snow,0.002
11,14,clear,0.9322
11,14,rain,0.0659
11,14,snow,0.002
11,15,clear,0.9322
11,15,rain,0.0659
11,15,snow,0.002
11,16,clear,0.9322
11,16,rain,0.0659
11,16,snow,0.002
11,17,clear,0.9178
11,17,rain,0.0791
11,17,snow,0.0031
11,18,clear,0.9178
11,18,rain,0.0791
11,18,snow,0.0031
11,19,clear,0.9178
11,19,rain,0.0791
11,19,snow,0.0031
11,20,clear,0.9182
11,20,rain,0.0795
11,20,snow,0.0023
11,21,clear,0.9182
11,21,rain,0.0795
11,21,snow,0.0023
11,22,clear,0.9182
11,22,rain,0.0795
11,22,snow,0.0023
11,23,clear,0.9182
11,23,rain,0.0795
11,23,snow,0.0023
12,0,clear,0.9097
12,0,rain,0.0619
12,0,snow,0.0283
12,1,clear,0.9097
12,1,rain,0.0619
12,1,snow,0.0283
12,2,clear,0.91
12,2,rain,0.057
12,2,snow,0.033
12,3,clear,0.91
12,3,rain,0.057
12,3,snow,0.033
12,4,clear,0.91
12,4,rain,0.057
12,4,snow,0.033
12,5,clear,0.9105
12,5,rain,0.0535
12,5,snow,0.036
12,6,clear,0.9105
12,6,rain,0.0535
12,6,snow,0.036
12,7,clear,0.9105
12,7,rain,0.0535
12,7,snow,0.036
12,8,clear,0.9066
12,8,rain,0.0563
12,8,snow,0.0371
12,9,clear,0.9066
12,9,rain,0.0563
12,9,snow,0.0371
12,10,clear,0.9066
12,10,rain,0.0563
12,10,snow,0.0371
12,11,clear,0.911
12,11,rain,0.0625
12,11,snow,0.0265
12,12,clear,0.911
12,12,rain,0.0625
12,12,snow,0.0265
12,13,clear,0.911
12,13,rain,0.0625
12,13,snow,0.0265
12,14,clear,0.9141
12,14,rain,0.0674
12,14,snow,0.0185
12,15,clear,0.9141
12,15,rain,0.0674
12,15,snow,0.0185
12,16,clear,0.9141
12,16,rain,0.0674
12,16,snow,0.0185
12,17,clear,0.9132
12,17,rain,0.066
12,17,snow,0.0208
12,18,clear,0.9132
