tm,stn,ta,rn,vs
202202150800,251,-1.0,-9.0,1357
202202150800,252,-0.5,-9.0,1143
202202150800,253,0.6,-9.0,2457
202202150800,254,-1.2,-9.0,2068
202202150800,255,1.4,-9.0,3682
202202150800,257,1.8,-9.0,700
202202150800,258,1.0,-9.0,3180
202202150800,259,0.8,-9.0,3123
202202150800,260,0.8,-9.0,2000
202202150800,261,-0.4,-9.0,1727
202202150800,262,0.9,-9.0,2000
202202150800,263,0.6,-9.0,2766
202202150800,264,-1.0,-9.0,1532
202202150800,266,0.4,-9.0,2914
202202150800,268,1.1,-9.0,2000
202202150800,271,-1.8,-9.0,1413
202202150800,272,-3.2,-9.0,475
202202150800,273,-2.9,-9.0,1634
202202150800,276,-2.7,-9.0,2292
202202150800,277,-0.5,-9.0,1561
202202150800,278,-0.3,-9.0,2000
202202150800,279,0.1,-9.0,1901
202202150800,281,-0.4,-9.0,1706
202202150800,283,0.1,-9.0,2327
202202150800,284,-1.1,-9.0,1235
202202150800,285,-0.7,-9.0,1919
202202150800,288,1.2,-9.0,2336
202202150800,289,-0.8,-9.0,2116
202202150800,294,1.7,-9.0,2822
202202150800,295,1.0,-9.0,1991
202202151900,90,-3.1,-9.0,3883
202202151900,93,-4.5,-9.0,-9
202202151900,95,-6.2,-9.0,4890
202202151900,98,-6.5,-9.0,2452
202202151900,99,-6.5,-9.0,578
202202151900,100,-10.0,-9.0,1578
202202151900,101,-3.7,-9.0,2000
202202151900,102,-4.5,-9.0,4747
202202151900,104,-2.0,-9.0,2000
202202151900,105,-1.7,-9.0,2167
202202151900,106,-0.5,-9.0,3142
202202151900,108,-4.8,-9.0,2000
202202151900,112,-5.2,-9.0,1375
202202151900,114,-3.8,-9.0,2000
202202151900,115,0.1,-9.0,2000
202202151900,119,-4.4,-9.0,2000
202202151900,121,-4.1,-9.0,2000
202202151900,127,-4.7,-9.0,2000
202202151900,129,-4.6,-9.0,2082
202202151900,130,-1.3,-9.0,4075
202202151900,131,-4.2,-9.0,2951
202202151900,133,-4.0,-9.0,2000
202202151900,135,-4.5,-9.0,4203
202202151900,136,-4.0,-9.0,2000
202202151900,137,-4.0,-9.0,4837
202202151900,138,0.3,-9.0,2000
202202151900,140,-3.1,-9.0,2000
202202151900,143,-0.5,-9.0,2000
202202151900,146,-3.5,-9.0,1979
202202151900,152,1.0,-9.0,2000
202202151900,155,-0.5,-9.0,2000
202202151900,156,-1.7,-9.0,2000
202202151900,159,1.8,-9.0,5000
202202151900,162,1.2,-9.0,2000
202202151900,165,-1.7,-9.0,2000
202202151900,168,-0.6,-9.0,2000
202202151900,169,0.0,-9.0,2864
202202151900,170,0.0,-9.0,2000
202202151900,172,-3.1,-9.0,517
202202151900,174,-2.8,-9.0,1469
202202151900,177,-4.0,-9.0,3200
202202151900,181,-4.4,-9.0,4892
202202151900,184,2.8,-9.0,3964
202202151900,185,2.3,-9.0,2000
202202151900,188,1.7,-9.0,2000
202202151900,189,4.4,-9.0,2000
202202151900,192,-0.7,-9.0,2000
202202151900,201,-5.3,-9.0,5000
202202151900,202,-3.4,-9.0,2000
202202151900,203,-4.6,-9.0,2000
202202151900,211,-4.2,-9.0,2770
202202151900,212,-4.0,-9.0,5009
202202151900,216,-8.9,-9.0,2000
202202151900,217,-5.1,-9.0,2682
202202151900,221,-5.7,-9.0,2000
202202151900,226,-5.0,-9.0,1622
202202151900,232,-4.7,-9.0,529
202202151900,235,-3.4,-9.0,2000
202202151900,236,-3.4,-9.0,2000
202202151900,238,-4.0,-9.0,2000
202202151900,239,-4.6,-9.0,1183
202202151900,243,-2.1,-9.0,2556
202202151900,244,-4.7,-9.0,1993
202202151900,245,-3.5,-9.0,1268
202202151900,247,-4.2,-9.0,1780
202202151900,248,-6.1,-9.0,1984
202202151900,251,-2.7,-9.0,4453
202202151900,252,-2.3,-9.0,774
202202151900,253,0.8,-9.0,4321
202202151900,254,-3.2,-9.0,487
202202151900,255,0.8,-9.0,5000
202202151900,257,2.2,-9.0,1379
202202151900,258,-0.8,-9.0,5000
202202151900,259,-0.9,-9.0,1161
202202151900,260,-1.4,-9.0,2000
202202151900,261,-2.4,-9.0,1936
202202151900,262,-1.1,-9.0,2000
202202151900,263,-1.2,-9.0,5000
202202151900,264,-3.0,-9.0,3254
202202151900,266,-1.7,-9.0,1773
202202151900,268,-0.9,-9.0,2000
202202151900,271,-3.5,-9.0,2000
202202151900,272,-4.8,-9.0,2000
202202151900,273,-4.9,-9.0,3622
202202151900,276,-4.1,-9.0,4864
202202151900,277,-1.7,-9.0,2000
202202151900,278,-2.4,-9.0,2000
202202151900,279,-1.2,-9.0,2000
202202151900,281,-1.2,-9.0,4622
202202151900,283,-0.2,-9.0,4740
202202151900,284,-3.5,-9.0,2000
202202151900,285,-0.5,-9.0,2000
202202151900,288,1.2,-9.0,5000
202202151900,289,-3.1,-9.0,4353
202202151900,294,1.0,-9.0,5000
202202151900,295,-0.3,-9.0,2000
202203150800,90,7.2,-9.0,4036
202203150800,93,2.1,-9.0,1400
202203150800,95,1.7,-9.0,1434
202203150800,98,1.6,-9.0,910
202203150800,99,0.0,-9.0,906
202203150800,100,0.8,-9.0,1614
202203150800,101,3.0,-9.0,754
202203150800,102,1.3,-9.0,1100
202203150800,104,7.1,-9.0,2000
202203150800,105,8.0,-9.0,1577
202203150800,106,8.9,-9.0,546
202203150800,108,2.5,-9.0,1248
202203150800,112,2.6,-9.0,536
202203150800,114,4.5,-9.0,617
202203150800,115,6.3,-9.0,2000
202203150800,119,3.1,-9.0,667
202203150800,121,4.6,-9.0,906
202203150800,127,4.1,-9.0,679
202203150800,129,0.4,-9.0,844
202203150800,130,4.5,-9.0,1412
202203150800,131,4.7,-9.0,681
202203150800,133,3.8,-9.0,626
202203150800,135,3.5,-9.0,1515
202203150800,136,3.8,-9.0,730
202203150800,137,5.0,-9.0,1923
202203150800,138,7.0,-9.0,1234
202203150800,140,2.8,-9.0,577
202203150800,143,6.9,-9.0,1229
202203150800,146,4.7,-9.0,841
202203150800,152,7.0,-9.0,1659
202203150800,155,8.2,-9.0,2000
202203150800,156,4.3,-9.0,776
202203150800,159,9.2,-9.0,4884
202203150800,162,7.1,-9.0,1984
202203150800,165,4.1,-9.0,1095
202203150800,168,6.5,-9.0,1050
202203150800,169,6.2,-9.0,1277
202203150800,170,6.4,-9.0,1102
202203150800,172,3.1,-9.0,914
202203150800,174,4.4,-9.0,713
202203150800,177,1.2,-9.0,282
202203150800,181,4.2,-9.0,675
202203150800,184,7.5,-9.0,699
202203150800,185,7.0,-9.0,564
202203150800,188,9.7,-9.0,2000
202203150800,189,12.9,-9.0,2000
202203150800,192,3.3,-9.0,16
202203150800,201,1.4,-9.0,1077
202203150800,202,3.7,-9.0,469
202203150800,203,3.5,-9.0,496
202203150800,211,5.2,-9.0,3544
202203150800,212,2.5,-9.0,271
202203150800,216,1.7,-9.0,1053
202203150800,217,3.7,-9.0,1177
202203150800,221,3.4,-9.0,716
202203150800,226,4.3,-9.0,862
202203150800,232,4.3,-9.0,563
202203150800,235,3.2,-9.0,492
202203150800,236,1.6,-9.0,15
202203150800,238,2.7,-9.0,478
202203150800,239,3.7,-9.0,776
202203150800,243,4.2,-9.0,735
202203150800,244,2.7,-9.0,538
202203150800,245,3.5,-9.0,462
202203150800,247,2.5,-9.0,391
202203150800,248,-1.3,-9.0,7
202203150800,251,2.5,-9.0,564
202203150800,252,3.8,-9.0,950
202203150800,253,7.0,-9.0,2470
202203150800,254,1.3,-9.0,305
202203150800,255,8.3,-9.0,3454
202203150800,257,7.8,-9.0,1465
202203150800,258,6.1,-9.0,1786
202203150800,259,5.2,-9.0,1441
202203150800,260,4.8,-9.0,1162
202203150800,261,3.8,-9.0,713
202203150800,262,5.0,-9.0,1067
202203150800,263,2.8,-9.0,1389
202203150800,264,3.4,-9.0,808
202203150800,266,5.7,-9.0,1221
202203150800,268,5.0,-9.0,1073
202203150800,271,2.5,-9.0,547
202203150800,272,4.0,-9.0,974
202203150800,273,4.9,-9.0,1155
202203150800,276,2.7,-9.0,939
202203150800,277,6.6,-9.0,1236
202203150800,278,1.7,-9.0,372
202203150800,279,5.8,-9.0,1117
202203150800,281,6.2,-9.0,1042
202203150800,283,6.5,-9.0,1401
202203150800,284,2.1,-9.0,437
202203150800,285,2.0,-9.0,559
202203150800,288,4.7,-9.0,825
202203150800,289,3.5,-9.0,940
202203150800,294,8.3,-9.0,4337
202203150800,295,7.2,-9.0,1193
202203151900,90,8.8,-9.0,2361
202203151900,93,10.2,-9.0,-9
202203151900,95,9.5,-9.0,5009
202203151900,98,10.5,-9.0,2708
202203151900,99,8.1,-9.0,1860
202203151900,100,7.8,-9.0,1459
202203151900,101,11.7,-9.0,1862
202203151900,102,4.8,-9.0,862
202203151900,104,9.7,-9.0,1951
202203151900,105,11.0,-9.0,1100
202203151900,106,10.4,-9.0,2393
202203151900,108,10.9,-9.0,1212
202203151900,112,6.2,-9.0,748
202203151900,114,11.1,-9.0,1361
202203151900,115,5.5,-9.0,2000
202203151900,119,9.7,-9.0,685
202203151900,121,12.1,-9.0,2000
202203151900,127,10.0,-9.0,965
202203151900,129,8.6,-9.0,2182
202203151900,130,9.6,-9.0,1720
202203151900,131,14.1,-9.0,1282
202203151900,133,13.7,-9.0,1554
202203151900,135,12.3,-9.0,4360
202203151900,136,12.7,-9.0,1995
202203151900,137,13.3,-9.0,3307
202203151900,138,11.6,-9.0,1200
202203151900,140,6.4,-9.0,1105
202203151900,143,15.8,-9.0,1678
202203151900,146,12.2,-9.0,840
202203151900,152,11.0,-9.0,1155
202203151900,155,10.2,-9.0,1563
202203151900,156,11.9,-9.0,1220
202203151900,159,10.9,-9.0,2028
202203151900,162,11.9,-9.0,1855
202203151900,165,7.7,-9.0,1778
202203151900,168,11.0,-9.0,2000
202203151900,169,6.1,-9.0,1269
202203151900,170,10.5,-9.0,2000
202203151900,172,6.5,-9.0,1998
202203151900,174,12.4,-9.0,1936
202203151900,177,10.9,-9.0,1660
202203151900,181,12.7,-9.0,2112
202203151900,184,10.9,-9.0,1231
202203151900,185,9.2,-9.0,923
202203151900,188,11.7,-9.0,2000
202203151900,189,13.8,-9.0,1783
202203151900,192,12.3,-9.0,2000
202203151900,201,5.6,-9.0,2450
202203151900,202,10.2,-9.0,823
202203151900,203,9.4,-9.0,705
202203151900,211,11.2,-9.0,4893
202203151900,212,9.4,-9.0,766
202203151900,216,8.7,-9.0,1985
202203151900,217,9.2,-9.0,2035
202203151900,221,8.8,-9.0,1861
202203151900,226,11.7,-9.0,1389
202203151900,232,11.6,-9.0,1063
202203151900,235,5.9,-9.0,876
202203151900,236,12.4,-9.0,1087
202203151900,238,12.5,-9.0,1111
202203151900,239,12.6,-9.0,2085
202203151900,243,7.0,-9.0,1011
202203151900,244,11.5,-9.0,718
202203151900,245,8.4,-9.0,944
202203151900,247,13.9,-9.0,1149
202203151900,248,12.1,-9.0,885
202203151900,251,7.5,-9.0,1150
202203151900,252,6.4,-9.0,1829
202203151900,253,10.8,-9.0,2228
202203151900,254,14.4,-9.0,2826
202203151900,255,12.9,-9.0,3652
202203151900,257,12.5,-9.0,832
202203151900,258,10.3,-9.0,4337
202203151900,259,12.0,-9.0,2424
202203151900,260,12.1,-9.0,2000
202203151900,261,8.7,-9.0,974
202203151900,262,10.3,-9.0,2000
202203151900,263,14.6,-9.0,686
202203151900,264,13.7,-9.0,4751
202203151900,266,12.6,-9.0,1139
202203151900,268,7.6,-9.0,1181
